timestamp,creator,index,post_url,status,button_text,button_class,button_href,elapsed_ms,error
2025-08-17T18:32:02,CreatorA,0,https://only-five.jp/posts/389871,sold_out,売り切れてます,buy-button disabled,#,1358.7,
2025-08-17T18:34:02,CreatorA,0,https://only-five.jp/posts/389871,sold_out,売り切れてます,buy-button disabled,#,1387.8,
2025-08-17T18:34:02,CreatorA,0,https://only-five.jp/posts/388168,sold_out,売り切れてます,buy-button disabled,#,1394.5,
2025-08-17T18:34:02,CreatorA,0,https://only-five.jp/posts/392182,buyable,購入する,buy-button,/posts/392182/charge_confirmation,1397.4,
2025-08-17T18:34:02,CreatorA,0,https://only-five.jp/posts/391137,buyable,購入する,buy-button,/posts/391137/charge_confirmation,1404.8,
2025-08-17T18:34:02,CreatorA,0,https://only-five.jp/posts/387729,sold_out,売り切れてます,buy-button disabled,#,1407.5,
2025-08-17T18:51:53,CreatorA,0,https://only-five.jp/posts/391137,buyable,購入する,buy-button,/posts/391137/charge_confirmation,1753.9,
2025-08-17T18:51:53,CreatorA,0,https://only-five.jp/posts/392182,buyable,購入する,buy-button,/posts/392182/charge_confirmation,1759.1,
2025-08-17T18:51:53,CreatorA,0,https://only-five.jp/posts/387729,sold_out,売り切れてます,buy-button disabled,#,1761.5,
2025-08-17T18:51:53,CreatorA,0,https://only-five.jp/posts/389871,sold_out,売り切れてます,buy-button disabled,#,1768.2,
2025-08-17T18:53:18,CreatorA,0,https://only-five.jp/posts/387729,sold_out,売り切れてます,buy-button disabled,#,1668.9,
2025-08-17T18:53:18,CreatorA,0,https://only-five.jp/posts/389871,sold_out,売り切れてます,buy-button disabled,#,1680.3,
2025-08-17T18:53:18,CreatorA,0,https://only-five.jp/posts/388168,sold_out,売り切れてます,buy-button disabled,#,1682.9,
2025-08-17T18:53:18,CreatorA,0,https://only-five.jp/posts/392182,buyable,購入する,buy-button,/posts/392182/charge_confirmation,1685.3,
2025-08-17T18:53:18,CreatorA,0,https://only-five.jp/posts/391137,buyable,購入する,buy-button,/posts/391137/charge_confirmation,1689.7,
2025-08-17T19:35:05,CreatorA,1,https://only-five.jp/posts/392182,buyable,購入する,buy-button,/posts/392182/charge_confirmation,1043.6,
